Date,Product ID,Inventory Level,Demand Forecast,Price,Weather Condition,Holiday/Promotion,Competitor Pricing
0,0,231,135,33,1,0,29
0,1,204,144,63,3,0,66
0,2,102,74,27,3,1,31
0,3,469,62,32,0,1,34
0,4,166,9,73,3,0,68
0,5,138,139,76,3,1,79
0,6,359,108,34,1,1,36
0,7,380,329,97,0,0,100
0,8,183,174,20,0,0,17
0,9,108,24,59,1,1,61
0,10,258,152,58,3,1,61
0,11,66,26,58,2,0,62
0,12,96,41,43,0,0,46
0,13,193,6,78,3,0,80
0,14,379,363,92,2,0,95
0,15,363,255,21,0,1,20
0,16,318,255,21,3,0,16
0,17,241,147,19,0,0,23
0,18,352,267,73,0,0,77
0,19,274,115,30,0,0,27
0,0,343,112,32,3,1,30
0,1,373,135,46,1,1,45
0,2,445,176,20,2,1,22
0,3,191,54,26,0,0,28
0,4,281,150,83,1,0,80
0,5,492,242,85,0,0,86
0,6,460,401,91,3,0,93
0,7,304,35,66,2,0,65
0,8,113,14,81,1,1,82
0,9,157,132,60,2,1,65
0,10,67,7,34,2,1,33
0,11,281,37,19,1,1,19
0,12,389,299,57,0,0,58
0,13,465,370,91,0,0,90
0,14,197,148,59,3,1,55
0,15,242,58,45,1,1,42
0,16,398,390,11,0,1,10
0,17,234,177,58,0,0,54
0,18,67,34,84,3,1,81
0,19,221,115,87,1,1,91
0,0,241,161,67,3,1,67
0,1,115,11,28,3,1,25
0,2,375,75,56,3,1,57
0,3,153,42,89,1,1,93
0,4,438,330,97,3,0,93
0,5,456,159,76,1,1,71
0,6,189,26,86,1,1,90
0,7,223,45,66,0,1,70
0,8,381,30,74,2,1,73
0,9,166,141,97,1,1,95
0,10,292,242,56,2,1,57
0,11,311,176,90,0,0,89
0,12,51,12,73,0,1,76
0,13,398,387,79,1,0,82
0,14,445,266,27,2,0,23
0,15,487,349,98,1,0,99
0,16,429,157,27,0,1,27
0,17,204,83,97,2,1,94
0,18,330,268,26,0,1,24
0,19,431,387,95,0,1,95
0,0,477,286,15,3,0,16
0,1,462,176,41,3,0,45
0,2,446,352,89,0,0,93
0,3,437,-2,87,3,0,90
0,4,397,196,81,2,1,85
0,5,470,396,41,2,0,39
0,6,264,197,67,0,0,64
0,7,250,54,85,2,1,86
0,8,63,51,59,1,1,61
0,9,447,115,33,0,0,37
0,10,205,46,54,3,1,57
0,11,349,0,14,1,1,18
0,12,191,54,61,3,0,63
0,13,406,69,66,2,1,68
0,14,228,171,60,0,0,65
0,15,263,98,94,1,0,96
0,16,203,55,25,1,0,28
0,17,143,27,16,0,1,18
0,18,359,181,71,1,1,73
0,19,211,86,11,2,0,9
0,0,111,83,70,0,0,70
0,1,415,292,57,2,1,60
0,2,384,76,36,3,0,40
0,3,436,292,50,2,1,54
0,4,180,38,92,1,1,96
0,5,185,174,60,0,0,61
0,6,292,122,46,2,0,50
0,7,478,328,34,2,1,30
0,8,182,92,87,2,0,85
0,9,87,14,37,1,1,36
0,10,427,94,54,1,1,53
0,11,245,90,67,3,0,63
0,12,317,256,82,0,0,87
0,13,325,188,42,0,1,42
0,14,411,260,11,0,0,11
0,15,71,1,16,3,0,17
0,16,388,390,98,3,1,102
0,17,161,103,48,2,1,50
0,18,235,119,88,1,0,91
0,19,108,105,11,2,1,9
1,0,116,92,27,0,0,30
1,1,416,171,19,0,0,18
1,2,488,463,70,2,0,72
1,3,248,133,49,2,0,50
1,4,238,204,23,3,1,19
1,5,471,51,47,2,1,46
1,6,178,60,17,2,1,17
1,7,92,67,58,0,0,61
1,8,99,70,99,0,0,95
1,9,171,47,11,3,0,12
1,10,215,16,53,0,1,53
1,11,281,70,57,2,1,60
1,12,455,44,35,0,1,31
1,13,84,23,31,0,1,28
1,14,246,203,28,0,1,30
1,15,399,67,35,2,0,38
1,16,242,181,28,0,0,27
1,17,478,55,74,2,0,69
1,18,156,24,91,0,1,87
1,19,221,187,97,2,0,99
1,0,402,339,66,1,1,63
1,1,132,82,90,1,0,86
1,2,218,153,92,2,1,89
1,3,131,100,68,2,0,69
1,4,93,57,87,0,1,90
1,5,344,273,79,1,0,77
1,6,340,264,17,2,0,13
1,7,241,46,14,3,1,13
1,8,296,195,30,3,0,28
1,9,472,387,27,0,1,32
1,10,308,169,88,0,0,86
1,11,434,239,82,1,0,83
1,12,287,279,92,3,1,97
1,13,190,31,94,1,0,89
1,14,353,110,70,0,1,75
1,15,210,166,63,3,0,67
1,16,193,174,46,1,1,41
1,17,124,116,21,3,0,21
1,18,492,469,79,0,0,80
1,19,222,76,64,3,1,65
1,0,277,132,73,0,0,72
1,1,175,-3,87,1,0,91
1,2,157,22,88,0,1,87
1,3,120,49,82,2,0,85
1,4,375,297,38,0,0,36
1,5,302,106,97,0,0,97
1,6,375,85,37,0,0,36
1,7,248,130,36,1,0,37
1,8,219,139,88,2,1,91
1,9,146,94,16,0,1,21
1,10,218,117,58,0,1,58
1,11,260,1,27,2,1,31
1,12,414,206,39,1,1,35
1,13,420,384,66,0,0,70
1,14,435,283,89,2,0,84
1,15,230,70,86,1,0,91
1,16,456,65,29,2,0,25
1,17,319,126,86,1,1,82
1,18,59,44,59,0,0,54
1,19,155,9,57,1,1,53
1,0,144,39,74,1,0,69
1,1,283,46,59,3,1,62
1,2,347,87,48,3,1,49
1,3,410,224,94,2,0,90
1,4,99,14,60,3,0,59
1,5,97,52,14,0,0,16
1,6,339,124,33,1,0,28
1,7,144,21,98,2,0,102
1,8,110,103,12,2,0,8
1,9,348,214,92,2,1,87
1,10,458,339,92,3,1,87
1,11,403,145,37,3,0,38
1,12,198,191,85,1,1,80
1,13,472,28,82,0,0,78
1,14,178,98,92,2,1,97
1,15,215,180,61,3,0,61
1,16,477,254,96,0,0,93
1,17,198,25,89,3,0,89
1,18,110,79,59,1,1,57
1,19,254,77,73,3,1,74
1,0,223,74,67,3,0,65
1,1,100,28,66,3,1,65
1,2,397,336,80,1,1,84
1,3,442,54,60,0,1,64
1,4,411,172,71,1,0,75
1,5,76,49,69,1,1,71
1,6,257,84,70,2,0,71
1,7,353,254,63,0,0,61
1,8,119,99,78,3,0,73
1,9,403,84,43,3,1,47
1,10,60,23,25,3,1,27
1,11,182,83,38,1,0,33
1,12,455,235,57,3,0,55
1,13,437,282,14,2,1,13
1,14,289,52,63,1,1,61
1,15,487,432,43,0,1,39
1,16,418,383,84,3,1,84
1,17,89,78,47,1,1,47
1,18,421,220,76,2,0,75
1,19,211,190,93,3,1,98
2,0,154,5,62,1,0,58
2,1,282,193,54,0,0,52
2,2,183,168,26,1,0,29
2,3,239,228,10,0,1,7
2,4,368,170,95,3,0,91
2,5,57,13,57,3,0,58
2,6,460,143,87,3,0,91
2,7,214,178,53,2,0,51
2,8,407,217,61,3,0,65
2,9,51,38,99,2,0,102
2,10,252,5,60,0,0,62
2,11,72,9,86,0,0,83
2,12,194,20,83,2,1,85
2,13,302,255,32,1,1,30
2,14,330,246,52,3,1,52
2,15,148,35,93,2,1,94
2,16,315,33,98,3,0,100
2,17,97,37,78,1,0,75
2,18,240,203,56,3,1,54
2,19,178,110,35,0,1,37
2,0,405,100,48,1,1,49
2,1,200,55,46,2,1,43
2,2,327,127,94,0,1,99
2,3,409,8,27,2,1,28
2,4,327,326,29,2,1,31
2,5,388,365,27,2,0,27
2,6,483,277,60,1,0,55
2,7,70,23,58,0,0,63
2,8,288,207,58,0,0,60
2,9,270,192,95,1,1,91
2,10,217,154,37,2,1,37
2,11,221,104,48,1,0,51
2,12,303,268,65,0,0,64
2,13,298,245,20,1,1,23
2,14,193,177,46,2,0,49
2,15,205,37,71,1,0,76
2,16,427,231,20,1,1,22
2,17,365,208,29,1,1,25
2,18,111,71,73,1,1,73
2,19,271,15,45,3,0,47
2,0,134,100,82,3,1,86
2,1,405,355,17,0,1,17
2,2,290,246,42,2,0,40
2,3,403,166,89,3,0,88
2,4,311,154,65,0,1,61
2,5,448,357,95,0,0,94
2,6,277,48,98,0,0,97
2,7,421,292,41,0,0,36
2,8,241,198,42,2,1,37
2,9,186,177,95,1,1,96
2,10,413,220,84,3,0,89
2,11,112,113,71,1,1,74
2,12,268,49,49,1,1,47
2,13,347,49,21,1,1,25
2,14,495,390,60,0,1,60
2,15,324,111,56,1,0,60
2,16,330,297,76,2,0,77
2,17,297,104,98,3,0,96
2,18,169,107,46,0,0,47
2,19,257,123,16,0,0,19
2,0,175,56,83,3,0,79
2,1,228,161,81,0,1,77
2,2,188,98,44,2,0,42
2,3,211,167,60,1,1,62
2,4,149,21,24,2,0,27
2,5,383,26,36,0,1,34
2,6,478,307,11,0,1,15
2,7,217,215,63,1,1,65
2,8,73,68,30,3,0,35
2,9,467,139,23,2,0,21
2,10,353,255,29,3,0,31
2,11,471,188,74,0,1,75
2,12,129,38,58,1,1,59
2,13,301,160,60,3,1,58
2,14,423,95,73,1,0,77
2,15,385,86,16,0,0,18
2,16,74,43,38,1,0,39
2,17,467,270,46,2,0,46
2,18,140,-3,80,2,0,76
2,19,197,161,95,0,0,97
2,0,159,18,36,2,0,34
2,1,322,78,82,3,1,84
2,2,106,25,46,2,0,49
2,3,475,358,59,0,0,57
2,4,83,63,60,3,1,60
2,5,117,59,40,2,1,44
2,6,368,95,63,1,1,63
2,7,207,173,97,2,1,95
2,8,398,350,52,3,0,55
2,9,476,91,14,3,1,11
2,10,119,43,74,0,1,69
2,11,77,68,46,1,1,46
2,12,191,205,23,2,0,19
2,13,419,263,28,3,1,23
2,14,184,143,86,0,0,85
2,15,361,25,80,0,1,76
2,16,154,37,41,1,0,40
2,17,376,43,38,2,1,35
2,18,268,198,59,2,0,64
2,19,451,99,66,3,0,62
3,0,85,52,77,0,1,75
3,1,91,82,88,3,1,87
3,2,184,82,10,0,0,7
3,3,209,15,44,3,1,45
3,4,470,45,69,2,0,73
3,5,127,0,53,0,0,55
3,6,367,336,33,0,0,28
3,7,404,350,61,3,0,58
3,8,403,26,45,3,0,46
3,9,494,92,94,1,0,98
3,10,421,49,24,3,0,25
3,11,150,140,66,2,0,70
3,12,94,46,34,3,0,33
3,13,77,22,98,0,1,95
3,14,430,371,87,0,1,88
3,15,168,33,93,3,0,93
3,16,353,349,53,0,1,57
3,17,380,258,58,3,1,60
3,18,127,50,63,3,1,61
3,19,153,44,10,2,1,10
3,0,108,85,45,3,1,44
3,1,109,71,52,0,1,51
3,2,493,459,41,1,0,44
3,3,289,26,58,3,1,61
3,4,425,407,25,2,0,23
3,5,118,88,33,3,0,29
3,6,449,132,81,0,0,82
3,7,184,52,57,1,0,56
3,8,239,104,50,0,0,47
