Date,Store ID,Product ID,Inventory Level,Demand Forecast,Price,Weather Condition,Holiday/Promotion,Competitor Pricing
0,0,0,231,135,33,1,0,29
0,0,1,204,144,63,3,0,66
0,0,2,102,74,27,3,1,31
0,0,3,469,62,32,0,1,34
0,0,4,166,9,73,3,0,68
0,0,5,138,139,76,3,1,79
0,0,6,359,108,34,1,1,36
0,0,7,380,329,97,0,0,100
0,0,8,183,174,20,0,0,17
0,0,9,108,24,59,1,1,61
0,0,10,258,152,58,3,1,61
0,0,11,66,26,58,2,0,62
0,0,12,96,41,43,0,0,46
0,0,13,193,6,78,3,0,80
0,0,14,379,363,92,2,0,95
0,0,15,363,255,21,0,1,20
0,0,16,318,255,21,3,0,16
0,0,17,241,147,19,0,0,23
0,0,18,352,267,73,0,0,77
0,0,19,274,115,30,0,0,27
0,1,0,343,112,32,3,1,30
0,1,1,373,135,46,1,1,45
0,1,2,445,176,20,2,1,22
0,1,3,191,54,26,0,0,28
0,1,4,281,150,83,1,0,80
0,1,5,492,242,85,0,0,86
0,1,6,460,401,91,3,0,93
0,1,7,304,35,66,2,0,65
0,1,8,113,14,81,1,1,82
0,1,9,157,132,60,2,1,65
0,1,10,67,7,34,2,1,33
0,1,11,281,37,19,1,1,19
0,1,12,389,299,57,0,0,58
0,1,13,465,370,91,0,0,90
0,1,14,197,148,59,3,1,55
0,1,15,242,58,45,1,1,42
0,1,16,398,390,11,0,1,10
0,1,17,234,177,58,0,0,54
0,1,18,67,34,84,3,1,81
0,1,19,221,115,87,1,1,91
0,2,0,241,161,67,3,1,67
0,2,1,115,11,28,3,1,25
0,2,2,375,75,56,3,1,57
0,2,3,153,42,89,1,1,93
0,2,4,438,330,97,3,0,93
0,2,5,456,159,76,1,1,71
0,2,6,189,26,86,1,1,90
0,2,7,223,45,66,0,1,70
0,2,8,381,30,74,2,1,73
0,2,9,166,141,97,1,1,95
0,2,10,292,242,56,2,1,57
0,2,11,311,176,90,0,0,89
0,2,12,51,12,73,0,1,76
0,2,13,398,387,79,1,0,82
0,2,14,445,266,27,2,0,23
0,2,15,487,349,98,1,0,99
0,2,16,429,157,27,0,1,27
0,2,17,204,83,97,2,1,94
0,2,18,330,268,26,0,1,24
0,2,19,431,387,95,0,1,95
0,3,0,477,286,15,3,0,16
0,3,1,462,176,41,3,0,45
0,3,2,446,352,89,0,0,93
0,3,3,437,-2,87,3,0,90
0,3,4,397,196,81,2,1,85
0,3,5,470,396,41,2,0,39
0,3,6,264,197,67,0,0,64
0,3,7,250,54,85,2,1,86
0,3,8,63,51,59,1,1,61
0,3,9,447,115,33,0,0,37
0,3,10,205,46,54,3,1,57
0,3,11,349,0,14,1,1,18
0,3,12,191,54,61,3,0,63
0,3,13,406,69,66,2,1,68
0,3,14,228,171,60,0,0,65
0,3,15,263,98,94,1,0,96
0,3,16,203,55,25,1,0,28
0,3,17,143,27,16,0,1,18
0,3,18,359,181,71,1,1,73
0,3,19,211,86,11,2,0,9
0,4,0,111,83,70,0,0,70
0,4,1,415,292,57,2,1,60
0,4,2,384,76,36,3,0,40
0,4,3,436,292,50,2,1,54
0,4,4,180,38,92,1,1,96
0,4,5,185,174,60,0,0,61
0,4,6,292,122,46,2,0,50
0,4,7,478,328,34,2,1,30
0,4,8,182,92,87,2,0,85
0,4,9,87,14,37,1,1,36
0,4,10,427,94,54,1,1,53
0,4,11,245,90,67,3,0,63
0,4,12,317,256,82,0,0,87
0,4,13,325,188,42,0,1,42
0,4,14,411,260,11,0,0,11
0,4,15,71,1,16,3,0,17
0,4,16,388,390,98,3,1,102
0,4,17,161,103,48,2,1,50
0,4,18,235,119,88,1,0,91
0,4,19,108,105,11,2,1,9
1,0,0,116,92,27,0,0,30
1,0,1,416,171,19,0,0,18
1,0,2,488,463,70,2,0,72
1,0,3,248,133,49,2,0,50
1,0,4,238,204,23,3,1,19
1,0,5,471,51,47,2,1,46
1,0,6,178,60,17,2,1,17
1,0,7,92,67,58,0,0,61
1,0,8,99,70,99,0,0,95
1,0,9,171,47,11,3,0,12
1,0,10,215,16,53,0,1,53
1,0,11,281,70,57,2,1,60
1,0,12,455,44,35,0,1,31
1,0,13,84,23,31,0,1,28
1,0,14,246,203,28,0,1,30
1,0,15,399,67,35,2,0,38
1,0,16,242,181,28,0,0,27
1,0,17,478,55,74,2,0,69
1,0,18,156,24,91,0,1,87
1,0,19,221,187,97,2,0,99
1,1,0,402,339,66,1,1,63
1,1,1,132,82,90,1,0,86
1,1,2,218,153,92,2,1,89
1,1,3,131,100,68,2,0,69
1,1,4,93,57,87,0,1,90
1,1,5,344,273,79,1,0,77
1,1,6,340,264,17,2,0,13
1,1,7,241,46,14,3,1,13
